Scientifc_name,Status,Senior_Junior_synonym,Combination
"Vesicatrus tegatus Eigenmann, 1911",synonym,senior,original
"Phenacogaster carteri (Norman, 1934)",accepted,senior,new
"Vesicatrus carteri Norman, 1934",synonym,senior,original
"Phenacogaster suborbitalis Ahl, 1936",accepted,senior,original
"Phenacogaster calverti (Fowler, 1941)",accepted,senior,new
"Grammabrycon calverti Fowler, 1941",synonym,senior,original
"Phenacogaster jancupa Malabarba & Lucena, 1995",accepted,senior,original
"Phenacogaster apletostigma Lucena & Gama, 2007",accepted,senior,original
"Phenacogaster capitulata Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster capitulatus Lucena & Malabarba, 2010",synonym,senior,original
"Phenacogaster maculoblonga Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster maculoblongus Lucena & Malabarba, 2010",synonym,senior,original
"Phenacogaster napoatilis Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster ojitatus Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster prolata Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster prolatus Lucena & Malabarba, 2010",synonym,senior,original
"Phenacogaster retropinnus Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster simulata Lucena & Malabarba, 2010",accepted,senior,original
"Phenacogaster simulatus Lucena & Malabarba, 2010",synonym,senior,original
"Phenacogaster wayampi Le Bail & Lucena, 2010",accepted,senior,original
"Phenacogaster wayana Le Bail & Lucena, 2010",accepted,senior,original
"Acestrocephalus anomalus (Steindachner, 1880)",accepted,senior,new
"Xiphorhamphus anomalus Steindachner, 1880",synonym,senior,original
"Acestrocephalus sardina (Fowler, 1913)",accepted,senior,new
"Charax sardina Fowler, 1913",synonym,senior,original
"Acestrocephalus ginesi Lasso & Taphorn, 2000",synonym,junior,original
"Acestrocephalus boehlkei Menezes, 1977",accepted,senior,original
"Acestrocephalus acutus Menezes, 2006",accepted,senior,original
"Acestrocephalus maculosus Menezes, 2006",accepted,senior,original
"Acestrocephalus nigrifasciatus Menezes, 2006",accepted,senior,original
"Acestrocephalus pallidus Menezes, 2006",accepted,senior,original
"Acestrocephalus stigmatus Menezes, 2006",accepted,senior,original
"Galeocharax gulo (Cope, 1870)",accepted,senior,new
"Cynopotamus gulo Cope, 1870",synonym,senior,original
"Charax goeldii Fowler, 1913",synonym,junior,original
"Galeocharax humeralis (Valenciennes, 1834)",accepted,senior,new
"Hydrocyon humeralis Valenciennes, 1834",synonym,senior,original
"Galeocharax knerii (Steindachner, 1879)",accepted,senior,new
"Anacyrtus knerii Steindachner, 1879",synonym,senior,original
"Acanthocharax microlepis Eigenmann, 1912",accepted,senior,original
"Microschemobrycon guaporensis Eigenmann, 1915",accepted,senior,original
"Microschemobrycon melanotus (Eigenmann, 1912)",accepted,senior,new
"Aphyocharax melanotus Eigenmann, 1912",synonym,senior,original
"Microschemobrycon callops Böhlke, 1953",accepted,senior,original
"Microschemobrycon casiquiare Böhlke, 1953",accepted,senior,original
"Microschemobrycon elongatus Géry, 1973",accepted,senior,original
"Microschemobrycon geisleri Géry, 1973",accepted,senior,original
"Microschemobrycon meyburgi Meinken, 1975",accepted,senior,original
"Priocharax ariel Weitzman & Vari, 1987",accepted,senior,original
"Priocharax pygmaeus Weitzman & Vari, 1987",accepted,senior,original
"Priocharax nanus Toledo-Piza, Mattox & Britz, 2014",accepted,senior,original
"Aphyocharax pusillus Günther, 1868",accepted,senior,original
"Aphyocharax alburnus (Günther, 1869)",accepted,senior,new
"Chirodon alburnus Günther, 1869",synonym,senior,original
"Aphyocharax avary Fowler, 1913",synonym,junior,original
"Aphyocharax agassizii (Steindachner, 1882)",accepted,senior,new
"Chirodon agassizii Steindachner, 1882",synonym,senior,original
"Aphyocharax nattereri (Steindachner, 1882)",accepted,senior,new
"Chirodon nattereri Steindachner, 1882",synonym,senior,original
"Chirodon pulcher Steindachner, 1882",synonym,junior,original
"Cheirodon steindachneri Eigenmann & Eigenmann, 1891",synonym,junior,original
"Aphyocharax paraguayensis Eigenmann, 1915",synonym,junior,original
"Aphyocharax anisitsi Eigenmann & Kennedy, 1903",accepted,senior,original
"Phoxinopsis typicus Regan, 1907",synonym,junior,original
"Aphyocharax rubropinnis Pappenheim, 1922",synonym,junior,original
"Aphyocharax affinis Ahl, 1923",synonym,junior,original
"Aphyocharax ipacarayensis Ahl, 1923",synonym,junior,original
"Aphyocharax dentatus Eigenmann & Kennedy, 1903",accepted,senior,original
"Aphyocharax pappenheimi Ahl, 1923",synonym,junior,original
"Notropocharax difficilis Marini, Nichols & La Monte, 1933",synonym,junior,original
"Aphyocharax nasutus Ahl, 1936",synonym,junior,original
"Aphyocharax rathbuni Eigenmann, 1907",accepted,senior,original
"Aphyocharax stramineus Eigenmann, 1907",synonym,junior,original
"Aphyocharax erythrurus Eigenmann, 1912",accepted,senior,original
"Aphyocharax gracilis Fowler, 1940",accepted,senior,original
"Aphyocharax colifax Taphorn & Thomerson, 1991",accepted,senior,original
"Aphyocharax yekwanae Willink, Chernoff & Machado-Allison, 2003",accepted,senior,original
"Aphyocharacidium melandetum (Eigenmann, 1912)",accepted,senior,new
"Odontostilbe melandetus Eigenmann, 1912",synonym,senior,original
"Aphyocharacidium bolivianum Géry, 1973",accepted,senior,original
"Paragoniates alburnus Steindachner, 1876",accepted,senior,original
"Leptagoniates steindachneri Boulenger, 1887",accepted,senior,original
"Prionobrama filigera (Cope, 1870)",accepted,senior,new
"Aphyocharax filigerus Cope, 1870",synonym,senior,original
"Prionobrama madeirae Fowler, 1913",synonym,junior,original
"Bleptonema amazonae Eigenmann, 1914",synonym,junior,original
"Aphyocharax analis Nichols, 1915",synonym,junior,original
"Prionobrama paraguayensis (Eigenmann, 1914)",accepted,senior,new
"Bleptonema paraguayensis Eigenmann, 1914",synonym,senior,original
"Phenagoniates macrolepis (Meek & Hildebrand, 1913)",accepted,senior,new
"Roeboides macrolepis Meek & Hildebrand, 1913",synonym,senior,original
"Phenagoniates wilsoni Eigenmann, 1914",synonym,junior,original
"Xenagoniates bondi Myers, 1942",accepted,senior,original
"Axelrodia stigmatias (Fowler, 1913)",accepted,senior,new
"Hyphessobrycon stigmatias Fowler, 1913",synonym,senior,original
